流水號,編號,區域,里,路街,位置,類型,方向,燈別,瓦數,isOldId,X,Y,燈桿形式,高度
910019,850427,四,過嶺里,過嶺路二段,過嶺里過嶺路二段456號左後第3支,水泥桿,,鈉光燈,250,FALSE,266628.5938,2762503.75,自備桿,6
910020,850428,四,過嶺里,過嶺路二段,過嶺里過嶺路二段456號左後第4支,水泥桿,,鈉光燈,250,FALSE,266671.0313,2762533.5,自備桿,6
910021,850429,四,過嶺里,過嶺路二段,過嶺里過嶺路二段456號左後第5支,水泥桿,,鈉光燈,250,FALSE,266720.5313,2762568.75,自備桿,6
910022,850430,四,過嶺里,過嶺路二段,"過嶺里過嶺路二段456號左後第6支,燈破",水泥桿,,鈉光燈,250,FALSE,266765.3125,2762597,自備桿,6
910023,850431,四,過嶺里,過嶺路二段,過嶺里過嶺路二段456號左後第7支(101光榮新設),水泥桿,,,250,FALSE,266834.8438,2762637.75,自備桿,6
910024,850432,四,過嶺里,過嶺路二段,過嶺里過嶺路二段456號左後第8支,水泥桿,,鈉光燈,250,FALSE,266903.75,2762682,自備桿,6
910025,850433,四,過嶺里,過嶺路二段,過嶺里過嶺路二段456號左後第9支,水泥桿,,鈉光燈,250,FALSE,266945.1875,2762713.75,自備桿,6
910026,850434,四,過嶺里,福田路,過嶺里福田路266號右邊第5桿,水泥桿,,鈉光燈,250,FALSE,266998.375,2762727.5,自備桿,6
910027,850435,四,過嶺里,福田路,過嶺里福田路266號右邊第4桿,水泥桿,,鈉光燈,250,FALSE,267025.4688,2762773,自備桿,6
910028,850436,四,過嶺里,福田路,過嶺里福田路266號右邊第3桿,水泥桿,,鈉光燈,250,FALSE,267054.6875,2762783.5,自備桿,6
40630,850437,四,過嶺里,福田路,過嶺里福田路266號右邊第2桿,水泥桿,,鈉光燈,250,FALSE,267099.8438,2762817.5,自備桿,6
